Compiling...
Starting subscribers...
Starting publishers...
Waiting publishers to finish...
Publisher 1 sent 120 messages
Publisher 2 sent 120 messages
Publisher 8 sent 120 messages
Publisher 0 sent 120 messages
Publisher 4 sent 120 messages
Publisher 6 sent 120 messages
Publisher 11 sent 120 messages
Publisher 16 sent 120 messages
Publisher 9 sent 120 messages
Publisher 10 sent 120 messages
Publisher 5 sent 120 messages
Publisher 3 sent 120 messages
Publisher 7 sent 120 messages
Publisher 12 sent 120 messages
Publisher 13 sent 120 messages
Publisher 14 sent 120 messages
Publisher 15 sent 120 messages
Publisher 17 sent 120 messages
Publisher 18 sent 120 messages
Publisher 20 sent 120 messages
Publisher 19 sent 120 messages
Publisher 22 sent 120 messages
Publisher 25 sent 120 messages
Publisher 21 sent 120 messages
Publisher 30 sent 120 messages
Publisher 36 sent 120 messages
Publisher 24 sent 120 messages
Publisher 33 sent 120 messages
Publisher 29 sent 120 messages
Publisher 37 sent 120 messages
Publisher 35 sent 120 messages
Publisher 26 sent 120 messages
Publisher 28 sent 120 messages
Publisher 31 sent 120 messages
Publisher 23 sent 120 messages
Publisher 46 sent 120 messages
Publisher 34 sent 120 messages
Publisher 32 sent 120 messages
Publisher 48 sent 120 messages
Publisher 49 sent 120 messages
Publisher 43 sent 120 messages
Publisher 27 sent 120 messages
Publisher 40 sent 120 messages
Publisher 44 sent 120 messages
Publisher 41 sent 120 messages
Publisher 38 sent 120 messages
Publisher 42 sent 120 messages
Publisher 47 sent 120 messages
Publisher 39 sent 120 messages
Publisher 45 sent 120 messages
Publishers finished.
Stopping subscribers...
Test finished successfully.
