Compiling...
Starting subscribers...
Starting publishers...
Waiting publishers to finish...
Publisher 3 sent 2400 messages
Publisher 7 sent 2400 messages
Publisher 11 sent 2400 messages
Publisher 21 sent 2400 messages
Publisher 10 sent 2400 messages
Publisher 5 sent 2400 messages
Publisher 4 sent 2400 messages
Publisher 16 sent 2400 messages
Publisher 9 sent 2400 messages
Publisher 0 sent 2400 messages
Publisher 18 sent 2400 messages
Publisher 17 sent 2400 messages
Publisher 8 sent 2400 messages
Publisher 30 sent 2400 messages
Publisher 33 sent 2400 messages
Publisher 24 sent 2400 messages
Publisher 15 sent 2400 messages
Publisher 34 sent 2400 messages
Publisher 23 sent 2401 messages
Publisher 31 sent 2400 messages
Publisher 26 sent 2400 messages
Publisher 32 sent 2400 messages
Publisher 14 sent 2400 messages
Publisher 12 sent 2400 messages
Publisher 19 sent 2400 messages
Publisher 22 sent 2401 messages
Publisher 29 sent 2400 messages
Publisher 13 sent 2400 messages
Publisher 35 sent 2400 messages
Publisher 2 sent 2400 messages
Publisher 25 sent 2400 messages
Publisher 20 sent 2400 messages
Publisher 28 sent 2400 messages
Publisher 1 sent 2400 messages
Publisher 41 sent 2400 messages
Publisher 36 sent 2401 messages
Publisher 6 sent 2400 messages
Publisher 38 sent 2400 messages
Publisher 39 sent 2400 messages
Publisher 27 sent 2400 messages
Publisher 37 sent 2400 messages
Publisher 40 sent 2400 messages
Publisher 43 sent 2400 messages
Publisher 42 sent 2400 messages
Publisher 49 sent 2400 messages
Publisher 44 sent 2400 messages
Publisher 45 sent 2400 messages
Publisher 48 sent 2400 messages
Publisher 47 sent 2400 messages
Publisher 46 sent 2400 messages
Publishers finished.
Stopping subscribers...
Test finished successfully.
